Application ID,District Name,Gender,Residential Type,Specially Abled Type,Enterprise Type,Sector,IFSC Code,Application Date,Initiated Flag,Submitted Flag,Verified by BHD Flag,Verified by SBDU Flag,Approved by DLIC Flag,Bank Sanctioned Flag,Bank Disbursed Flag,Days_to_BHD_Verification,Days_to_SBDU_Verification,Days_to_DLIC_Approval,Days_to_Bank_Sanction,Days_to_Disbursement,Total_TAT_Days,Loan Amount (Mixed Units),Project Cost (Mixed Units),Applicant_Monthly_Income,Loan_Tenure_Months,Interest_Rate_%,EMI_Amount,EMI_to_Income_Ratio,Risk_Score,Credit_Eligibility_Score,Repayment_Status,Days_Overdue
15.0,Srinagar,male ,rural,Locomotor,,IT,JKBK057979,2023-04-07,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,45.0,49.0,32.0,6.0,146.0,₹4477409,6392k INR,84576.0,24.0,12.9,,,81.0,0.73,late,0.0
16.0,Poonch,male ,Rural,,nano entrepreneur,Manufacturing,JKBK015626,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,6.0,4.0,93.0,11.0,119.0,,,65967.0,12.0,13.29,,,12.0,,ONTIME,0.0
17.0,Srinagar,Female,rural,,Existing enterprise,,JKBK042557,7/4/2024,1.0,1.0,1.0,1.0,1.0,0.0,0.0,25.0,78.0,54.0,87.0,38.0,282.0,,₹5363717,84062.0,,8.64,,,88.0,0.61,ONTIME,0.0
18.0,Reasi,Male,Rural,Locomotor,Existing Enterprise,,JKBK083848,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,0.0,0.0,21.0,54.0,53.0,71.0,13.0,212.0,$38070,$49154,36575.0,18.0,11.72,,,4.0,0.39,late,0.0
19.0,Ganderbal,Male,rural,Visual,nano entrepreneur,Manufacturing,JKBK077603,6/12/2024,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,65.0,37.0,10.0,16.0,152.0,,$45910,22874.0,48.0,9.78,,,50.0,0.81,late,0.0
20.0,Kupwara,male ,,Visual,,,JKBK021950,2021-01-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,41.0,32.0,32.0,29.0,143.0,103367,₹117176,10830.0,48.0,11.3,,,81.0,0.9,On-time,0.0
21.0,Kulgam,Female,Rural,Locomotor,MSME Sunrise Sector,Tourism,JKBK074773,As on Feb 2026,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,31.0,45.0,109.0,33.0,,$20344,$46860,60775.0,48.0,10.42,,,74.0,0.83,Delayed,0.0
22.0,Ganderbal,Other,Rural,Locomotor,MSME Sunrise Sector,Manufacturing,JKBK023004,5-19-2024,1.0,1.0,0.0,1.0,1.0,1.0,1.0,33.0,73.0,,115.0,34.0,,4644341,4004k INR,118085.0,,13.37,,,100.0,0.79,Delayed,0.0
23.0,Pulwama,male ,urban ,,Existing Enterprise,IT,JKBK017820,2023-12-10,1.0,0.0,1.0,1.0,1.0,0.0,0.0,17.0,,,32.0,,,$11201,,,18.0,13.6,,,4.0,0.7,Default,84.0
24.0,Kishtwar,Male,urban ,,nano entrepreneur,Agri,JKBK025888,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,84.0,4.0,88.0,33.0,215.0,1175217,3115k INR,,60.0,10.14,,,36.0,0.31,ONTIME,0.0
25.0,Reasi,Other,Urban,,MSME Sunrise Sector,Retail,JKBK063696,26/2/2025,1.0,1.0,0.0,1.0,1.0,0.0,0.0,31.0,84.0,12.0,37.0,11.0,175.0,,366k INR,117335.0,,13.06,,,31.0,0.14,ONTIME,0.0
26.0,Kishtwar,FEMALE,Rural,Hearing,nano entrepreneur,Retail,JKBK060025,5-4-2025,1.0,1.0,0.0,1.0,0.0,0.0,0.0,38.0,18.0,23.0,43.0,24.0,146.0,2366253,,59254.0,48.0,9.71,,,89.0,0.23,late,0.0
27.0,Baramulla,Other,Rural,,,Manufacturing,JKBK031827,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,0.0,0.0,29.0,72.0,17.0,,3.0,,$38983,5039k INR,,18.0,11.22,,,60.0,0.89,Delayed,0.0
28.0,Reasi,FEMALE,Urban,Hearing,Existing enterprise,Manufacturing,JKBK019317,2021-01-03,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,24.0,50.0,,43.0,,,3138892,94850.0,36.0,9.12,37123.0,0.391,30.0,0.8,Default,0.0
29.0,Srinagar,male ,Rural,Multiple,Existing enterprise,Services,JKBK074395,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,1.0,1.0,38.0,45.0,55.0,60.0,4.0,202.0,2454980,$19989,15661.0,36.0,11.83,3496.0,0.223,82.0,0.82,Delayed,0.0
30.0,Ramban,Female,Rural,Locomotor,nano entrepreneur,Tourism,JKBK062302,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,9.0,118.0,35.0,,5079618,6850765,50244.0,18.0,10.24,,,61.0,0.74,On-time,0.0
31.0,Jammu,,rural,,Nano Entrepreneur,Healthcare,JKBK058342,26/4/2026,1.0,1.0,1.0,1.0,1.0,0.0,0.0,23.0,25.0,56.0,53.0,,,₹4072631,,85174.0,24.0,10.19,,,19.0,0.86,Delayed,0.0
32.0,Samba,Other,,,,Agri,JKBK077804,2021-06-04,1.0,1.0,1.0,1.0,1.0,1.0,0.0,30.0,41.0,18.0,9.0,,,4031415,$25025,,24.0,12.12,,,28.0,0.17,,155.0
33.0,Samba,Female,,Hearing,,Healthcare,JKBK056686,2021-12-04,1.0,0.0,1.0,1.0,1.0,0.0,0.0,10.0,13.0,37.0,9.0,33.0,102.0,₹618405,,27723.0,48.0,7.93,,,25.0,0.85,Delayed,0.0
34.0,Reasi,,Urban,Hearing,Existing Enterprise,Manufacturing,JKBK024294,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,34.0,51.0,56.0,89.0,,,933k INR,,55275.0,48.0,9.42,,,21.0,0.38,ONTIME,139.0
35.0,Baramulla,Other,rural,,nano entrepreneur,Retail,JKBK059505,19/3/2026,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,87.0,15.0,17.0,43.0,165.0,1465615,487079,48758.0,18.0,6.83,,,23.0,0.63,Delayed,0.0
36.0,Kulgam,male ,Rural,,nano entrepreneur,Retail,JKBK089158,As on Feb 2026,1.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,38.0,,68.0,,,3332k INR,3229k INR,31627.0,24.0,12.93,,,68.0,0.9,Default,74.0
37.0,Pulwama,FEMALE,Urban,Multiple,Existing Enterprise,IT,JKBK010690,9-21-2026,1.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,42.0,11.0,31.0,19.0,135.0,2396k INR,,26120.0,18.0,8.06,,,20.0,0.86,late,0.0
38.0,Reasi,Male,Rural,,Existing Enterprise,,JKBK056439,2025-05-20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,57.0,38.0,117.0,13.0,231.0,₹902103,6802242,13570.0,48.0,7.91,3556.0,0.262,13.0,0.38,late,0.0
39.0,Jammu,Male,rural,,Existing Enterprise,Healthcare,JKBK055585,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0,53.0,19.0,49.0,,,935827,₹3419164,31905.0,60.0,11.07,9678.0,0.303,70.0,0.53,Default,0.0
40.0,Kulgam,Other,Rural,Locomotor,nano entrepreneur,Services,JKBK065453,16/8/2022,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,25.0,37.0,19.0,,,₹3015000,6403k INR,41962.0,48.0,,,,19.0,0.52,Default,156.0
41.0,Kupwara,Male,Urban,Locomotor,,IT,JKBK030383,2023-02-25,1.0,1.0,1.0,1.0,1.0,0.0,0.0,33.0,83.0,37.0,85.0,22.0,260.0,1891k INR,815k INR,47669.0,18.0,13.96,,,67.0,0.25,On-time,0.0
42.0,Ramban,,Rural,,Nano Entrepreneur,Services,JKBK096077,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,,,71.0,6.0,,$43391,6133k INR,31683.0,36.0,8.17,,,89.0,0.82,On-time,0.0
43.0,Pulwama,Female,Urban,,MSME Sunrise Sector,Tourism,JKBK080949,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,18.0,58.0,45.0,25.0,38.0,184.0,,,77357.0,12.0,8.93,27277.0,0.353,40.0,0.92,Default,0.0
44.0,Jammu,Male,rural,Multiple,,,JKBK021038,9/9/2024,1.0,1.0,1.0,1.0,1.0,0.0,0.0,34.0,,13.0,54.0,8.0,,5994591,$15923,11986.0,24.0,7.06,,,20.0,0.78,On-time,0.0
45.0,Shopian,FEMALE,urban ,Multiple,,Manufacturing,JKBK054076,As on Feb 2026,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,33.0,120.0,30.0,214.0,4999663,,93395.0,,6.78,,,43.0,0.51,Delayed,124.0
46.0,Shopian,Female,Urban,Locomotor,Existing Enterprise,IT,JKBK054076,27/11/2021,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,31.0,84.0,3.0,,$34255,₹2946206,32484.0,18.0,10.01,,,50.0,0.69,late,100.0
47.0,Budgam,FEMALE,Urban,Hearing,Nano Entrepreneur,Healthcare,JKBK050548,23/4/2025,1.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,8.0,45.0,92.0,36.0,200.0,,$7356,61862.0,18.0,12.73,,,70.0,0.05,late,0.0
48.0,Doda,Female,rural,Locomotor,MSME Sunrise Sector,Healthcare,JKBK050046,4-28-2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,17.0,,11.0,31.0,,$7517,,12942.0,36.0,7.1,4290.0,0.331,22.0,,On-time,0.0
49.0,Doda,Male,,Visual,Existing enterprise,Healthcare,JKBK060322,2-25-2021,1.0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,10.0,,36.0,33.0,,₹4758521,,31572.0,,12.2,,,91.0,0.15,late,0.0
49.0,Srinagar,Female,rural,,Existing enterprise,Tourism,JKBK017822,2022-12-20,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,33.0,68.0,23.0,,₹4384687,₹3832012,,,11.42,,,,0.15,On-time,0.0
51.0,Poonch,FEMALE,rural,,MSME Sunrise Sector,,JKBK090689,3-1-2024,1.0,1.0,1.0,1.0,1.0,0.0,0.0,25.0,,29.0,82.0,31.0,,316133,$9703,53729.0,12.0,10.19,,,60.0,0.98,late,0.0
52.0,Kathua,Other,,Multiple,Nano Entrepreneur,Tourism,JKBK096936,11-10-2021,1.0,1.0,0.0,1.0,1.0,1.0,1.0,27.0,31.0,33.0,82.0,,,4946411,,94096.0,48.0,13.25,33646.0,0.358,89.0,0.46,ONTIME,0.0
53.0,Shopian,FEMALE,Rural,Multiple,,Retail,JKBK074576,10/4/2024,1.0,1.0,0.0,1.0,0.0,0.0,0.0,17.0,52.0,54.0,57.0,27.0,207.0,4932130,₹2253204,85525.0,36.0,13.83,,,27.0,0.73,late,0.0
54.0,Samba,FEMALE,urban ,Hearing,Nano Entrepreneur,IT,JKBK077806,12-3-2022,1.0,1.0,0.0,1.0,1.0,0.0,0.0,11.0,,60.0,,6.0,,1045362,2013k INR,112188.0,12.0,6.52,,,33.0,0.67,,65.0
55.0,Udhampur,Female,,,Existing enterprise,IT,JKBK089681,12/11/2023,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,40.0,,84.0,,,₹2934638,6402784,80261.0,36.0,11.13,,,74.0,0.48,,0.0
56.0,Ganderbal,Other,rural,Hearing,MSME Sunrise Sector,IT,JKBK077804,14/10/2022,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20.0,31.0,22.0,104.0,27.0,204.0,$40050,$21980,,24.0,9.99,,,41.0,0.36,late,120.0
57.0,Kupwara,Other,,,Nano Entrepreneur,Manufacturing,JKBK061699,2023-07-13,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,77.0,40.0,99.0,,,3466826,₹2460661,28822.0,18.0,8.77,,,2.0,0.77,ONTIME,0.0
58.0,Shopian,Female,Urban,,,,JKBK061699,As on Feb 2026,1.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,64.0,,72.0,2.0,,,$47362,66609.0,,12.23,,,58.0,0.16,Default,100.0
59.0,Doda,male ,Urban,,Existing Enterprise,Manufacturing,JKBK077989,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,68.0,50.0,118.0,24.0,,,₹1982488,11361.0,,12.59,,,57.0,0.79,Delayed,0.0
60.0,Kathua,Male,urban ,,Existing enterprise,Agri,JKBK016426,As on Feb 2026,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,19.0,31.0,96.0,44.0,200.0,1631k INR,6697101,75804.0,18.0,12.41,,,12.0,0.23,On-time,0.0
61.0,Rajouri,FEMALE,,,MSME Sunrise Sector,Retail,JKBK036760,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,21.0,37.0,4.0,31.0,3.0,96.0,$34571,$35289,80722.0,48.0,9.14,18795.0,0.233,36.0,0.9,Default,52.0
62.0,Ramban,Male,Rural,,MSME Sunrise Sector,Manufacturing,JKBK040914,As on Feb 2026,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,53.0,17.0,94.0,7.0,190.0,3029k INR,$36487,43259.0,18.0,13.9,,,8.0,0.62,,0.0
63.0,Doda,,Rural,Visual,Existing enterprise,Services,JKBK054442,2025-09-09,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,13.0,44.0,45.0,44.0,152.0,2717386,,69938.0,24.0,7.61,,,52.0,0.14,late,14.0
63.0,Poonch,male ,,,MSME Sunrise Sector,Manufacturing,JKBK075287,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,1.0,1.0,19.0,23.0,,117.0,37.0,,3492138,,87668.0,24.0,9.43,16187.0,0.185,40.0,0.51,,0.0
65.0,Ramban,Other,urban ,Locomotor,,Manufacturing,JKBK068857,2025-11-12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,19.0,35.0,44.0,125.0,1620k INR,$47139,73365.0,18.0,8.57,,,96.0,0.11,Default,0.0
66.0,Kathua,Female,Rural,Multiple,nano entrepreneur,Agri,JKBK085455,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,55.0,18.0,65.0,11.0,151.0,,$10919,65593.0,12.0,8.0,,,27.0,0.32,ONTIME,104.0
67.0,Poonch,FEMALE,urban ,Hearing,,Agri,JKBK030383,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,39.0,28.0,17.0,41.0,,,309k INR,60526.0,48.0,11.82,,,96.0,0.31,Delayed,0.0
68.0,Udhampur,Male,,Hearing,nano entrepreneur,Manufacturing,JKBK017822,2024-08-12,1.0,1.0,0.0,1.0,1.0,0.0,0.0,17.0,16.0,46.0,112.0,10.0,201.0,5344305,$57887,65940.0,36.0,10.69,,,29.0,0.33,ONTIME,0.0
68.0,Udhampur,Other,,,Nano Entrepreneur,Manufacturing,JKBK086898,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,8.0,55.0,35.0,38.0,,,$46237,$27572,,36.0,7.21,,,30.0,0.09,On-time,0.0
70.0,Kupwara,male ,rural,,Nano Entrepreneur,,JKBK080092,5/4/2021,1.0,1.0,0.0,1.0,1.0,0.0,0.0,20.0,,49.0,76.0,43.0,,$12184,4971262,61023.0,60.0,8.52,,,19.0,0.22,Delayed,0.0
71.0,Baramulla,male ,,,MSME Sunrise Sector,Manufacturing,JKBK021038,6-11-2026,1.0,1.0,0.0,1.0,0.0,0.0,0.0,23.0,31.0,39.0,21.0,34.0,148.0,,₹976745,84578.0,60.0,7.0,,,43.0,0.78,On-time,0.0
72.0,Rajouri,Other,Urban,Hearing,Existing enterprise,IT,JKBK041524,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20.0,72.0,18.0,19.0,33.0,162.0,$5771,,82577.0,48.0,10.47,19181.0,0.232,9.0,0.81,late,167.0
73.0,Ramban,Female,Urban,Hearing,nano entrepreneur,,JKBK074904,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,47.0,,109.0,8.0,,₹2504074,3622122,39467.0,60.0,9.2,8236.0,0.209,24.0,0.34,,0.0
74.0,Kathua,,urban ,,Nano Entrepreneur,,JKBK062214,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,1.0,1.0,12.0,15.0,19.0,11.0,21.0,78.0,2338k INR,6291645,94488.0,12.0,11.88,22198.0,0.235,62.0,0.27,Delayed,154.0
75.0,Samba,male ,,Visual,Existing enterprise,Services,JKBK067133,2024-09-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,30.0,11.0,38.0,40.0,121.0,,,95978.0,60.0,,,,80.0,0.88,On-time,0.0
76.0,Samba,male ,Urban,Multiple,,,JKBK039783,6-14-2021,1.0,1.0,0.0,1.0,1.0,1.0,1.0,25.0,27.0,18.0,116.0,2.0,188.0,4537041,₹3540327,36381.0,,,,,34.0,0.54,late,0.0
77.0,Kathua,,Rural,Multiple,,,JKBK018219,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,21.0,78.0,4.0,88.0,,,1903k INR,,13870.0,60.0,12.45,5816.0,0.419,56.0,0.27,,171.0
78.0,Poonch,,,Visual,Existing enterprise,Services,JKBK076492,6-2-2023,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,60.0,109.0,5.0,184.0,₹4268895,639k INR,17499.0,48.0,10.77,,,19.0,0.13,Default,180.0
79.0,Ramban,Other,rural,Multiple,nano entrepreneur,Manufacturing,JKBK032602,4/6/2025,1.0,1.0,0.0,1.0,1.0,1.0,0.0,14.0,69.0,,33.0,32.0,,,473961,16464.0,36.0,14.19,6482.0,0.394,10.0,0.65,Delayed,0.0
80.0,Kishtwar,,rural,,,,JKBK016473,As on Feb 2026,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,23.0,17.0,111.0,9.0,,2257002,$25913,95751.0,60.0,8.12,,,38.0,0.97,On-time,0.0
81.0,Ramban,male ,Rural,Locomotor,Existing enterprise,Tourism,JKBK054076,2-1-2022,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,19.0,28.0,95.0,22.0,172.0,1983k INR,₹1256510,118539.0,48.0,6.78,,,47.0,0.42,,103.0
81.0,Pulwama,FEMALE,urban ,Multiple,Existing Enterprise,Tourism,JKBK056439,2024-07-22,1.0,1.0,0.0,1.0,1.0,1.0,1.0,27.0,34.0,5.0,64.0,45.0,175.0,$7638,$42391,,18.0,14.06,,,83.0,0.32,On-time,0.0
83.0,Baramulla,male ,urban ,Locomotor,MSME Sunrise Sector,Services,JKBK049116,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,26.0,15.0,21.0,74.0,560493,4362k INR,32413.0,60.0,12.72,,,10.0,0.98,late,10.0
84.0,Kulgam,Male,,Hearing,Existing enterprise,IT,JKBK080317,9-8-2026,1.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,67.0,,,31.0,,₹3619966,₹3755257,58635.0,24.0,12.12,,,40.0,0.3,ONTIME,0.0
85.0,Anantnag,male ,,,Existing Enterprise,Tourism,JKBK085326,As on Feb 2026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,74.0,6.0,98.0,35.0,,,,63233.0,36.0,14.25,16992.0,0.269,33.0,0.95,late,0.0
86.0,Reasi,male ,,Locomotor,Existing enterprise,Tourism,JKBK017267,As on Feb 2026,1.0,0.0,1.0,1.0,1.0,0.0,0.0,33.0,18.0,51.0,,,,5757293,5262961,,48.0,7.54,,,62.0,0.94,late,0.0
87.0,Kupwara,FEMALE,Rural,,MSME Sunrise Sector,Manufacturing,JKBK069040,As on Feb 2026,1.0,1.0,0.0,1.0,1.0,1.0,1.0,30.0,45.0,,,10.0,,$37498,2258k INR,84180.0,48.0,12.56,13792.0,0.164,38.0,0.66,ONTIME,0.0
88.0,Srinagar,male ,Rural,Hearing,Existing Enterprise,Healthcare,JKBK096077,2026-06-20,1.0,1.0,0.0,1.0,1.0,0.0,0.0,40.0,35.0,20.0,111.0,,,5944977,$26740,66856.0,,8.31,,,23.0,0.52,On-time,0.0
89.0,Srinagar,Male,rural,Hearing,Existing Enterprise,Manufacturing,JKBK086967,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,81.0,36.0,58.0,27.0,210.0,2597k INR,₹1342170,43015.0,36.0,10.59,,,19.0,0.11,late,0.0
90.0,Anantnag,,rural,,nano entrepreneur,,JKBK047327,As on Feb 2026,1.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,33.0,50.0,51.0,21.0,172.0,1139k INR,₹6009204,50076.0,48.0,13.02,,,71.0,0.96,,158.0
91.0,Kishtwar,Male,urban ,Multiple,Existing enterprise,Healthcare,JKBK026095,9/11/2023,1.0,1.0,0.0,1.0,1.0,1.0,1.0,31.0,63.0,16.0,,44.0,,₹4643070,$51206,44998.0,,11.21,,,,0.4,late,0.0
92.0,Kishtwar,Other,,,nano entrepreneur,Retail,JKBK086231,9-18-2026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,,20.0,18.0,36.0,,$40767,2895k INR,89352.0,48.0,11.75,24011.0,0.269,41.0,0.6,Default,0.0
93.0,Udhampur,male ,rural,Hearing,,IT,JKBK024294,As on Feb 2026,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,18.0,,70.0,9.0,,,,34196.0,12.0,9.96,,,,0.15,Default,0.0
94.0,Udhampur,male ,Rural,Hearing,Existing Enterprise,Retail,JKBK061970,2023-01-08,1.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,54.0,43.0,92.0,,,,354141,39731.0,60.0,,,,48.0,0.85,late,0.0
95.0,Pulwama,Female,,,,Manufacturing,JKBK030715,9-6-2023,1.0,1.0,0.0,1.0,1.0,0.0,0.0,22.0,65.0,38.0,108.0,19.0,252.0,$15132,3990172,72109.0,48.0,9.37,,,9.0,0.1,late,0.0
96.0,Ganderbal,,Rural,Locomotor,,Agri,JKBK013021,27/7/2026,1.0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,17.0,9.0,92.0,29.0,158.0,₹983230,₹5410013,81870.0,48.0,6.8,,,89.0,0.46,Delayed,65.0
97.0,Udhampur,Male,,Multiple,MSME Sunrise Sector,Tourism,JKBK031827,As on Feb 2026,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,10.0,35.0,14.0,18.0,,4630k INR,,53674.0,60.0,7.53,,,91.0,0.7,ONTIME,81.0
98.0,Doda,Male,Rural,Visual,Nano Entrepreneur,Manufacturing,JKBK081014,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,34.0,69.0,34.0,71.0,4.0,212.0,175k INR,6880058,,48.0,7.01,,,17.0,0.0,Delayed,146.0
99.0,Poonch,FEMALE,Urban,,Nano Entrepreneur,Agri,JKBK074867,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,22.0,40.0,43.0,,32.0,,5477424,154k INR,87089.0,36.0,7.21,,,17.0,0.81,ONTIME,0.0
